command	handler	params	status	behavior	state_updates	evidence
ESC	0x695B	1 byte command selector	audited	Reads the next byte through the 7-bit command reader and dispatches through the ESC table at 0x699C.	No mode state change by itself. Pushes normal loop return through 0x6944 dispatch framework.	695B: CALT 0082; HL=699C; dispatch via 6944.
LF	0x2011	none	audited_partial	Clears the one-line double-wide bit, loads current line spacing from EF8B, converts it through 0x50EB, then enters the shared vertical advance path at 0x2048 and 0x256E. The pending distance can later reach 0x2864 and the timed scheduler at 0x5676. 0x50EB divides spacing by 2 and uses VV93 to compensate odd raw spacings on alternating lines.	VV24 &= 0xFE; HL = adjusted EF8B/2; A=1 on entry to 0x2048; shared path may update EE44/EE4C/EE48/EE4A/EE50/EE7A/EE86, EF40, EF11, and scheduler state.	2011: CALL 24D4; LHLD EF8B; CALL 50EB; A=1; JRE 2048. 256E stores EE7A/EE86; 2864 may store EF40 and CALL 5676.
CR	0x1FEE	none	audited_partial	Clears VV09 bit 3, then falls into the LF path. Any auto-return/advance behavior is therefore the same shared 0x2011/0x2048/0x256E path after the flag clear.	VV09 &= 0xF7; then LF-style advance state changes.	1FEE: ANIW VV09,0xF7; JR 2011.
FF	0x201F	none	audited_partial	Clears the one-line double-wide bit and enters a page/form advance path. If EF8D is nonzero, it derives the remaining page distance from EF8D minus EF91; otherwise it can drop into the service/page-load style routine at 0x51B9.	VV24 &= 0xFE; uses EF8D page length and EF91 current page offset; may call 51B9; otherwise joins 2048 with the computed remaining distance.	201F: CALL 24D4; A=3; LHLD EF8D; if needed LDED EF91 and DSUB; 203D JMP 51B9; otherwise 2048.
VT	0x1F69	none	audited_partial	Vertical tab. If vertical-tab tables are enabled, uses selected channel VV30, scales each nonzero table entry with that channel's stored line-spacing header, and feeds to the next target greater than current page offset EF91. If no table target is usable, an empty table falls to FF while an exhausted nonempty table falls to CR. Without enabled tables, it computes repeated default stops from VVBE and current line spacing until the next stop after EF91.	VVBC bit 3 selects custom vertical-tab table mode. Uses channel table at FF30 + 10h*VV30, channel spacing header via EFB2, page length EF8D, current page offset EF91, and shared feed path at 2048. May fall through to FF at 201F or CR at 1FEE.	1F69-1F98 handles default stops from VVBE and EF8B/2; 1F99-1FE3 scans selected FF30 channel table; 1FD2 calls 24D4 then jumps to 2048 with A=1.
BS	0x1040	none	audited_partial	Backspaces by the pending width in EE78 when present, clearing EE78 afterward; otherwise computes the current character width via 147C. The distance is negated with CALT 0094 and passed to the common horizontal move helper at 0E02.	May update EE4C and EE72 through 0E02/0E5B when the resulting move stays within margins. Uses VV23 bit 5 as part of width selection.	1040-1057: tests VV23.5 path, optionally loads/clears EE78, CALL 147C fallback, CALT 0094, JMP 0E02.
HT	0x0E7D	none	audited_partial	Horizontal tab. If custom horizontal tabs are enabled, scans FF00 until zero or a tab stop beyond the current margin-relative position, converts that stop with the saved EFBF geometry, bounds it against EE5E/EE5C, then moves by the delta through 0E02. If custom tabs are not enabled, computes repeated default tabs from VVBD and current character width until the next stop beyond the current position.	May update EE4C and EE72 through 0E02/0E5B. Explicit tabs live in FF00 with geometry EFBF; default interval comes from VVBD.	0E7D-0EC2 handles FF00 custom tabs under VVBC.7; 0EC3-0EE9 handles default tab stepping; both converge through 0E02 on success.
BEL	0x41C5	none	audited	Triggers the beeper/tone helper under DI/EI.	VV09 bit 6 is set before and after calling 0x4E9F with EA=0x04E1.	41C5: CALT 00B6; ORIW VV09,0x40; DI; EA=04E1; CALL 4E9F; ORIW VV09,0x40; EI; RET.
CAN	0x0F78	none	audited_partial	Cancels current line/render state and reinitializes output-window pointers. This interacts with the DIP SW2-5 input-buffer/download-buffer split: the manual says download/user font buffer use requires the 1 KB input-buffer setting, while the 8 KB input-buffer setting disables downloading.	Resets several EE46/EE48/EE4A/EE4C/EE52/EE54/EE56/EE58/EE72 slots via inline table at 0x0FD0; clears VV33/VV17/VVA9/VVAA-related state; sets EE46 to 8000h and EE74/EE76 to E982h/C70Bh in this path.	0F78 starts with CALT 00B6, clears flags, calls 24AD, sets EE74/EE76, sets EE46=8000h, then table-clears state at 0x0FC0. Manual: SW2-5 selects 8 KB vs 1 KB input buffer; download buffer is ignored in 8 KB mode.
DC3	0x4315	none	audited	Sets deselected/offline-style state.	VV09 &= 0xDF; VV09 |= 0x10.	4315: ANIW VV09,0xDF; ORIW VV09,0x10; RET.
SO	0x43B1	none	audited	Sets one-line double-wide mode and recalculates print state.	VV24 |= 0x01; then CALT 0x0092.	43B1: ORIW VV24,0x01; JR 43A5.
ESC SO	0x43B1	none	audited	Same handler as SO: sets one-line double-wide mode and recalculates print state.	VV24 |= 0x01; then CALT 0x0092.	ESC table points 0x0E to 43B1.
DC4	0x43B5	none	audited	Cancels one-line double-wide mode and recalculates print state.	VV24 &= 0xFE; then CALT 0x0092.	43B5: ANIW VV24,0xFE; JR 43A5.
SI	0x439E	none	audited	Sets condensed mode and recalculates print state.	VV22 |= 0x20; then CALT 0x0092.	439E: ORIW VV22,0x20; JR 43A5.
ESC SI	0x439E	none	audited	Same handler as SI: sets condensed mode and recalculates print state.	VV22 |= 0x20; then CALT 0x0092.	ESC table points 0x0F to 439E.
DC2	0x43A2	none	audited	Cancels condensed mode and recalculates print state.	VV22 &= 0xDF; then CALT 0x0092.	43A2: ANIW VV22,0xDF; CALT 0092; RET.
ESC SP n	0x0DE1	1 byte, 7-bit	audited	Stores intercharacter spacing parameter.	VV9D = n & 0x7F.	0DE1: CALT 0082; STAW VV9D; RET.
ESC ! n	0x0F42	1 byte	audited	Master-select bitfield. Clears existing affected style bits, then maps input bits to pitch/style flags and recalculates state.	Clears VV22.5, VV23 bits 7/5/1/0? via mask 0x5C, VV24 bits via mask 0xA4. Sets: n80->VV23.0; n40->VV24.3; n20->VV24.0/1; n10->VV24.6; n08->VV24.4; n04->VV22.5; n02->VV23.5; n01->VV23.1. Calls CALT 0092 and 7B52.	0F42-0F75.
ESC #	0x1423	none	audited	Sets MSB-control mask state to 0x00FF.	EE8F = 0x00FF.	1423: LXI HL,00FF; falls to SHLD EE8F.
ESC =	0x1426	none	audited	Sets MSB-control mask state to 0x007F.	EE8F = 0x007F.	1426: LXI HL,007F; falls to SHLD EE8F.
ESC >	0x1429	none	audited	Sets MSB-control mask state to 0x80FF.	EE8F = 0x80FF.	1429: LXI HL,80FF; SHLD EE8F.
ESC % n	0x112E	1 byte boolean	audited	Selects ROM/user-defined character set state. n=0 clears user-defined selection; nonzero also clears VV09 bit 2, then sets user-defined selection.	n=0: VV17 &= 0x7F. n!=0: VV09 &= 0xFB; VV17 |= 0x80. Both call CALT 0092.	112E-113C.
ESC & ...	0x113D	variable	audited_partial	Defines user-defined characters. Reads a leading byte, then reads first/last character range as a word; rejects if first > last or last >= 0x80. If definition is disabled by VV09 bit 2, it still consumes the full per-character data stream without writing. Otherwise it prepares user-character state and loops over each character, reading the attribute byte and width/data word before entering the record builder. Render/output effects are intentionally not followed here.	Uses VV09 bit 2 as define/consume-only gate; updates VV1A/VV1B/VVA6, EF18 user-char allocation pointer, and 0x8900/0x8B80 user-character records.	113D-1147 validates range; 114E-1168 consume-only path; 1169-11AF active define loop; 12CA-13B8 writes records; 13CC clears 0x8900 and sets EF18=8B80.
ESC : ...	0x11B0	3 bytes expected	audited_partial	User-defined character setup/copy command. Reads one 7-bit parameter and returns unless the accepted value causes the following RET to be skipped; accepted form reads two more bytes through the word reader and clears VV09 bit 2. Deeper copy/selection behavior is behind helper calls and not fully recovered from this entry alone.	VV09 &= 0xFB when the parameter sequence is accepted.	11B0: CALT 0082; EQI A,00; conditional RET; 11B4: CALT 0084; 11B5: ANIW VV09,0xFB; RET.
ESC * m n1 n2	0x0BB5	mode byte, 16-bit count, then data	audited_partial	Graphics front end. Reads mode m, validates it through the 0D5D mode table, returns before reading count/data if invalid, then reads count with H masked to 0x1F and rejects zero count. The audited boundary is setup of graphics state; the subsequent data/render loop is intentionally not followed here.	VVC3 = mode-derived flags OR 0x04; VVC9 = mode table B value; EE6E = count low 13 bits; EE70 = count high E0h bits shifted into H; VVAB/VVAC/VVAD hold masks for 8/24-pin expansion; VVA9/VV87 graphics state set after data loop entry.	0BB5 reads m; 0D48 validates table at 0D5D; 0BC6 reads count and masks H; 0BD7 stores EE6E; 0BDE stores EE70; 0C90-0CDA prepares masks/data loop.
ESC ? s m	0x0B7F	2 bytes	audited	Reassigns one of K/L/Y/Z graphics commands if s is K, L, Y, or Z. Stores replacement mode byte m into EFC4/EFC5/EFC6/EFC7 respectively.	EFC4 for K, EFC5 for L, EFC6 for Y, EFC7 for Z.	0B7F reads s/m; 0B8F-0BA7 chooses EF C4-C7 and stores B.
ESC K n1 n2	0x0BA9	16-bit count, then data	audited_partial	Single-density graphics front end. Loads reassigned mode byte from EFC4, then enters the common graphics setup path at 0BB6. Data/render loop intentionally not followed.	Uses common graphics state as ESC * after mode lookup. EFC4 may be changed by ESC ?.	0BA9 sets L=C4; 0BB1 loads EFC4; JR 0BB6.
ESC L n1 n2	0x0BAB	16-bit count, then data	audited_partial	Double-density graphics front end. Loads reassigned mode byte from EFC5, then enters common graphics setup. Data/render loop intentionally not followed.	Uses common graphics state as ESC * after mode lookup. EFC5 may be changed by ESC ?.	0BAB sets L=C5; common 0BB1/0BB6.
ESC Y n1 n2	0x0BAD	16-bit count, then data	audited_partial	High-speed double-density graphics front end. Loads reassigned mode byte from EFC6, then enters common graphics setup. Data/render loop intentionally not followed.	Uses common graphics state as ESC * after mode lookup. EFC6 may be changed by ESC ?.	0BAD sets L=C6; common 0BB1/0BB6.
ESC Z n1 n2	0x0BAF	16-bit count, then data	audited_partial	Quadruple-density graphics front end. Loads reassigned mode byte from EFC7, then enters common graphics setup. Data/render loop intentionally not followed.	Uses common graphics state as ESC * after mode lookup. EFC7 may be changed by ESC ?.	0BAF sets L=C7; common 0BB1/0BB6.
ESC - n	0x43B9	1 byte boolean	audited	Toggles underline. n=0 clears underline; nonzero sets underline.	VV23 bit 0 cleared/set.	43B9: CALT 0086; clear or set VV23.0.
ESC 0	0x41FC	none	audited	Sets line spacing raw value to 0x002D.	EF8B = 0x002D.	41FC: HL=002D; falls through 4219 SHLD EF8B.
ESC 2	0x41FF	none	audited	Sets line spacing raw value to 0x003C.	EF8B = 0x003C.	41FF: HL=003C; falls through 4219 SHLD EF8B.
ESC 3 n	0x4210	1 byte	audited	Sets line spacing to 4*n in internal units.	EF8B = 4*n.	4210 reads n; EA=4*n; SHLD EF8B.
ESC A n	0x4203	1 byte, 7-bit	audited	Sets line spacing to 6*n in internal units.	EF8B = 6*n.	4203 reads n; repeated DADD yields 6*n; SHLD EF8B.
ESC C ...	0x421E	1 or 2 bytes	audited	Cancels skip-over-perforation, then sets page length. ESC C 0 consumes a second byte and converts it using current line spacing before halving the result; nonzero ESC C n accepts n < 0x17 and multiplies by 0xB4. Zero computed length is rejected. On success, stores the page length and clears current page offset.	EF8D = computed page length; EF91 = 0; VV90 bit 7 cleared by 4267 before parsing. Invalid/out-of-range forms return without storing EF8D.	421E-4245: CALL 4267; ESC C 0 path uses EF8B and CALT 009E then DSLR; ESC C n path gates n < 17h and MUL B4h; 423A stores EF8D and clears EF91.
ESC N n	0x4246	1 byte, 7-bit	audited	Sets skip-over-perforation if n is nonzero and the computed skip distance is below current page length. Stores skip length/position via 0x425A.	EF8F = computed skip distance; VV8A bit 7 cleared.	4246 reads n; zero returns; computes n*current line spacing/2; compares against EF8D; stores via 425A.
ESC O	0x4267	none	audited	Cancels skip-over-perforation.	VV90 &= 0x7F.	4267: CALT 00B6; ANIW VV90,0x7F; RET.
ESC B ... 0	0x426C	zero-terminated list	audited	Sets vertical tabs for channel 0. Initializes the channel table at FF30, writes current line spacing as the table header, then accepts up to 15 strictly ascending nonzero tab bytes. A zero terminates the table; overflow or nonascending input enters a discard loop that consumes until zero.	VVBC bit 3 set. Channel 0 table base is FF30; first word stores EF8B-derived line spacing; subsequent bytes hold tab stops and a zero terminator when capacity remains.	426C A=0; 4273 sets VVBC.3; 42AF computes FF30 + 10h*channel; 4279-4288 writes EF8B header; 428A-42AE validates/stores/discards tab list.
ESC b c ... 0	0x426F	channel byte plus list	audited	Sets vertical tabs for channel c when c < 8; invalid channels return before consuming a tab list. Valid channels use the same table/header/list rules as ESC B.	VVBC bit 3 set only for valid channels. Table base = FF30 + 0x10*c; first word stores current line spacing; remaining bytes hold ascending tabs.	426F reads channel with CALT 0082 and requires A < 08h; 4273-42AE implements the shared vertical-tab list parser.
ESC / n	0x42BA	1 byte, 7-bit	audited	Selects vertical-tab channel if n < 8.	VV30 = n.	42BA reads n; if n < 8 stores VV30.
ESC D ... 0	0x0EEA	zero-terminated list	audited	Sets horizontal tabs. Captures current character-width geometry in EFBF, then accepts up to 31 strictly ascending nonzero tab bytes into FF00. A zero terminates the list; overflow or nonascending input enters the generic discard-until-zero loop at 429D.	VVBC bit 7 set; EFBF = current geometry from 147C; FF00 contains tab stops plus a zero terminator when capacity remains.	0EEA-0F15: sets VVBC.7, stores EFBF, validates with GTAX (HL+), stores up to 1Fh entries, and jumps to 429D on invalid/overflow input.
ESC $ n1 n2	0x41DC	16-bit word	audited_partial	Absolute horizontal position. Reads little-endian n, masks H to two bits, rejects n >= 0x0331, scales by current pitch via CALT 009E using A=0x18, adds left margin EE5E, subtracts current position EE4C, then routes the resulting delta through 0E02.	May update EE4C and EE72 through 0E02/0E5B if the common move helper accepts the final target. Out-of-range n returns unchanged.	41DC-41F9: CALT 0084; H &= 03h; compare against 0331h; CALT 009E; add EE5E; subtract EE4C; JMP 0E02.
ESC \ n1 n2	0x0DE5	16-bit signed-ish word	audited_partial	Relative horizontal position. Reads a two-byte value, normalizes H into the firmware signed-distance form, rejects values outside the signed guard range, converts through 0E6F, then lets 0E02 accept only moves whose final position stays between left margin EE5E and right margin EE5C.	May update EE4C and EE72 through 0E02/0E5B on success. Failed range/margin checks return unchanged.	0DE5-0E02 normalizes/checks the raw word and calls 0E6F; 0E1C-0E3F checks positive/negative moves against EE5C/EE5E; 0E5B stores EE4C and EE72.
ESC Q n	0x0D7E	1 byte	audited_partial	Sets right margin. Computes n-derived position through 0DD3; when VV03 bit 0 is clear it adds 0x0C60 before comparison. If the computed right margin is not greater than left margin EE5E, returns unchanged. On success stores EE5C and resets current-line render geometry.	EE5C = computed right margin; EF42 = 0; calls 0F78; sets VV38 bit 7; jumps 26F1. Failed guard returns without modifying EE5C.	0D7E-0D9C computes and compares against EE5E; 0D9C stores EE5C; 0DC3-0DD0 calls 0F78, sets VV38.7, clears EF42, jumps 26F1.
ESC l n	0x0DA2	1 byte	audited_partial	Sets left margin. Computes n-derived position through 0DD3; when VV03 bit 0 is clear it adds 0x0C60 before comparison. Accepts only if new left margin plus one is not beyond right margin EE5C and the new left margin is below hard limit 0x1BD9. On success stores EE5E and resets current-line render geometry.	EE5E = computed left margin; EF42 = 0; calls 0F78; sets VV38 bit 7; jumps 26F1. Failed guard returns without modifying EE5E.	0DA2-0DBF computes and checks against EE5C and 1BD9h; 0DBF stores EE5E; 0DC3-0DD0 calls 0F78, sets VV38.7, clears EF42, jumps 26F1.
ESC P	0x0F2E	none	audited	Selects 10 cpi state and recalculates print state.	VV23 &= 0x7D.	0F2E clears VV23.1; 0F35 clears VV23.7; CALT 0092.
ESC M	0x0F32	none	audited	Selects 12 cpi state and recalculates print state.	VV23 |= 0x02; VV23 &= 0x7F.	0F32 sets VV23.1; 0F35 clears VV23.7; CALT 0092.
ESC g	0x0F3A	none	audited	Selects 15 cpi state and recalculates print state.	VV23 |= 0x80; VV23 &= 0xFD.	0F3A sets VV23.7; clears VV23.1; CALT 0092.
ESC p n	0x0F21	1 byte boolean	audited	Toggles proportional mode and updates panel/output selection state. n=0 clears proportional flag; nonzero sets it.	VV23 bit 5 cleared/set; calls CALT 0092 and 7B52.	0F21-0F2B.
ESC w n	0x0F16	1 byte boolean	audited	Toggles double-high mode. n=0 clears double-high flag; nonzero sets it.	VV25 bit 7 cleared/set; calls CALT 0092.	0F16-0F20.
ESC 4	0x436C	none	audited	Sets italic mode and recalculates print state.	VV24 |= 0x08; CALT 0092.	436C-4370.
ESC 5	0x4371	none	audited	Cancels italic mode and recalculates print state.	VV24 &= 0xF7; CALT 0092.	4371-4375.
ESC E	0x4362	none	audited	Sets emphasized mode and recalculates print state.	VV24 |= 0x10; CALT 0092.	4362-4366.
ESC F	0x4367	none	audited	Cancels emphasized mode and recalculates print state.	VV24 &= 0xEF; CALT 0092.	4367-436B.
ESC G	0x4376	none	audited	Sets double-strike mode.	VV24 |= 0x40.	4376: ORIW VV24,0x40; RET.
ESC H	0x437A	none	audited	Cancels double-strike mode.	VV24 &= 0xBF.	437A: ANIW VV24,0xBF; RET.
ESC S n	0x437E	1 byte, 7-bit / ASCII digit	audited	Toggles super/subscript-style flags for n=0 or n=1 after accepting either binary 0/1 or ASCII '0'/'1'. Other values return unchanged.	n=0: VV23 |= 0x18. n=1: VV23 &= 0xF7; VV23 |= 0x10. Both call CALT 0092.	437E subtracts ASCII 0 if needed; 438C/4391 update flags.
ESC T	0x4399	none	audited	Cancels super/subscript-style flag.	VV23 &= 0xEF; CALT 0092.	4399-439D.
ESC W n	0x43A7	1 byte boolean	audited	Toggles persistent double-wide mode. n=0 clears bits, nonzero sets bits, then recalculates print state.	n=0: VV24 &= 0xFC. n!=0: VV24 |= 0x03. Calls CALT 0092.	43A7-43B0.
ESC U n	0x41A6	1 byte boolean in normal path	audited	Toggles unidirectional-print state in the normal path. If VV03 bit 0 is active, it only consumes one raw byte and returns. Otherwise n=0 clears the normal unidirectional bits; nonzero sets the command-selected bit.	Normal n=0: VV87 &= 0xBF and VV87 &= 0xFD. Normal n!=0: VV87 |= 0x02. VV03.0 path consumes via CALT 0080 without state change.	41A6-41B8: VV03.0 gate; CALT 0086 boolean reader; clear path updates VV87 with BFh/FDh masks; set path ORIW VV87,02h.
ESC <	0x418F	none	needs_hardware_correlation	Documented as one-line unidirectional in the command table, but this handler currently only flushes/settles via CALT 00B6 and tests PA mask 20h before returning.	No direct state update identified.	418F: CALT 00B6; ONI PA,0x20; RET.
ESC a n	0x42C1	1 byte, 7-bit	audited	Selects justification only when current print position EE4C equals left margin EE5E. Accepts binary 0..3 and ASCII '0'..'3'; other values return unchanged.	VVC1 = 0x00/0x80/0x40/0x20 for n=0/1/2/3. No change if not at left margin or parameter is out of range.	42C1-42CD reads n and requires EE4C == EE5E; 42CE-42D4 normalizes ASCII and bounds n < 4; 42D5-42E6 maps to VVC1.
ESC k n	0x435B	1 byte, 7-bit	audited	Stores typestyle family selector and recalculates print state/panel state.	VVA4 = n; calls CALT 0092 and 7B52.	435B-435F.
ESC R n	0x1454	1 byte	audited	Sets international character-set selector if n < 13. Stored value is n * 12.	VVBB = n * 12.	1454 reads n; rejects n >= 13; computes 12*n into VVBB.
ESC t n	0x1431	1 byte, 7-bit / ASCII digit	audited	Selects character table for n=0,1,2 after accepting binary or ASCII digit.	VV20 &= 0x4F, then n=0 no extra bit; n=1 sets VV20.7; n=2 sets VV20.5; n=0/1 call CALT 0092, n=2 falls through same recalculation path.	1431-144B.
ESC 6	0x144C	none	audited	Enables printable-character mode by clearing VV20 bit 6.	VV20 &= 0xBF.	144C: ANIW VV20,0xBF; RET.
ESC 7	0x1450	none	audited	Enables upper-control-code mode by setting VV20 bit 6.	VV20 |= 0x40.	1450: ORIW VV20,0x40; RET.
ESC x n	0x434E	1 byte boolean	audited	Toggles draft/letter-quality flag. n=0 sets VV23 bit 2; nonzero clears VV23 bit 2. Calls recalculation and panel/output update.	n=0: VV23 |= 0x04. n!=0: VV23 &= 0xFB. Calls CALT 0092 and 7B52.	434E-4358.
ESC EM n	0x431C	1 byte	audited	Cut-sheet-feeder/options command. Recognizes ASCII '0','1','2','4','R' and maps them to VV8A option/feed bits; other values return unchanged.	n='0': VV8A &= 0x7F. n='1'/'2': VV8A = (VV8A & 0xCF) | 0x20/0x10. n='4': VV8A |= 0x80. n='R': VV8A &= 0x7F and VV0E &= 0xFE.	431C-434A: direct ASCII dispatch after CALT 0080 and CALT 00B6.
ESC @	0x41D5	none	audited	Initializes printer firmware state by resetting SP to EE00 and jumping to the secondary normal initialization/input-loop entry.	SP=EE00; jumps to 4008, which calls 038B then returns to main input loop at 400B.	41D5: CALT 00B6; LXI SP,EE00; JMP 4008.
ESC j n	0x2568	1 byte	audited_partial	FX-80-compatible immediate reverse feed. Reads n, builds HL=0x80nn, sets the shared immediate-feed flags at 0x2534, then enters 0x1FEA/0x2048/0x256E with that signed-distance form. Nonzero counts schedule timed paper motion; n=1..10 uses the short path with EF64=n, while n>=11 uses five lead steps plus EF64=n-10 plus five tail steps. Thus the command produces exactly n PB3/PB4 phase changes, in the reverse phase order selected by VV61.0 and 095Fh.	HL=0x80nn at 0x2534; VVC1 |= 0xE0; 0x256E sets VV0C bit 3, clears VV0C bit 2, clears VVA9 bit 6, stores distance in EE7A/EE86 after sign normalization; 0x2864 copies nonzero magnitude to EF40 and sets VV38.3 before calling 0x5676. The copied VV6D.3 path sets VV62=1/VV63=0/EF64 from feed-distance state, selects the 708Eh timing record, drives PB2 low before the first phase change, and reaches PB bits 3/4 phase updates through the FE1 ISR.	2568-256C; 2534; 1FEA; 2048; 256E-263F; 2864-288A; 5676; 569A-56C5; 558D-55B1; 55D8-560E; 540D; 0668-07BB; 093E-096A.
ESC J n	0x2530	1 byte	audited_partial	Immediate forward feed. Reads n, builds HL=0x00nn, sets shared immediate-feed flags at 0x2534, then enters 0x1FEA/0x2048/0x256E with the positive distance. Nonzero counts schedule timed paper motion; n=1..10 uses the short path with EF64=n, while n>=11 uses five lead steps plus EF64=n-10 plus five tail steps. Thus the command produces exactly n PB3/PB4 phase changes, in the forward phase order selected by clear VV61.0 and 0953h.	HL=0x00nn at 0x2534; VVC1 |= 0xE0; 0x256E sets VV0C bit 3, clears VV0C bit 2, clears VVA9 bit 6, stores distance in EE7A and EE86; 0x2864 copies nonzero magnitude to EF40 and sets VV38.3 before calling 0x5676. The copied VV6D.3 path sets VV62=1/VV63=0/EF64 from feed-distance state, selects the 708Eh timing record, drives PB2 low before the first phase change, and reaches PB bits 3/4 phase updates through the FE1 ISR.	2530-2537; 1FEA; 2048; 256E-263F; 2864-288A; 5676; 569A-56C5; 558D-55B1; 55D8-560E; 540D; 0668-07BB; 093E-096A.
ESC s n	0x0A0B	1 byte	audited	Compatibility consumer only. Consumes one byte using the generic input-byte reader and returns the byte in A; no command-specific state update identified.	No command-specific state update.	Dispatch target is 0A0B.
ESC r n	0x0A0B	1 byte	audited	Compatibility/no-op consumer only. Consumes one byte using the generic input-byte reader and returns the byte in A.	No command-specific state update.	Dispatch target is 0A0B.
ESC h n	0x0A0B	1 byte	audited	Compatibility/no-op consumer only. Consumes one byte using the generic input-byte reader and returns the byte in A.	No command-specific state update.	Dispatch target is 0A0B.
