address	label	kind	confidence	notes
0x0000	vec_reset_to_boot	vector	high	Reset vector: DI; JMP 0x0180.
0x0004	vec_ei_reti_stub	vector	medium	Short EI; RETI stub.
0x0008	vec_irq_to_0978	vector	medium	Interrupt/vector stub to 0x0978.
0x0010	vec_irq_to_gate_f000_input_capture	vector	medium	Interrupt/vector stub to 0x0582; 0x0060 also jumps here.
0x0018	vec_irq_to_print_engine_dispatch	vector	medium	Interrupt/vector stub to 0x0668.
0x0028	vec_irq_to_rxb_receive	vector	medium	Interrupt/vector stub to 0x05E2.
0x0070	rom_signature_pbls	data	high	Bytes decode as ASCII-like PBLS signature at both 0x0070 and external-check address 0x4000.
0x0080	calt_table_or_fast_services	code	medium	Dense target area for CALT calls 0x80-0xBE; linear disassembly is not enough to name each entry yet.
0x0180	boot_reset_entry	code	high	Initializes SP/MM/V register page, clears RAM/windows, checks external PROM signature, then enters initialization.
0x0201	post_external_prom_boot_init	code	high	Boot continuation after optional external PROM check; calls mechanism and DIP/init helpers.
0x0210	startup_sample_gate_f000_status	code	medium	Boot reads F000 between F2/F1/NMI tests before deriving initial status and switch state.
0x021F	startup_decode_f003_status_bits	code	medium	Reads F003 and maps active-low bits into VV0A/VV0B startup status fields.
0x038B	init_runtime_state	code	high	Clears EE/EF state blocks, seeds print/page pointers, initializes mode variables.
0x045D	init_cpu_ports_timers_gate_array	code	high	Writes EOM, PA/PB/PC, MCC/MA/MB/MC, TMM/ETMM, F004, F005, F003.
0x049C	memclear_hl_bc	code	high	Stores 0x00 through memory using HL and BC loop.
0x04A4	probe_cg_ram_window_set	code	medium	Calls 0x04B8 with bank-like values 0x80,0x00,0x40 and stores feature flags.
0x04B8	probe_8000_window_bank	code	medium	Uses CALT 0x00B4 then probes 0x8000 window contents.
0x0501	probe_8000_window_pattern	code	medium	Writes/reads 0x8000 and scans window; likely RAM/CG/bank probe.
0x0572	checksum_8000_page	code	medium	Sums bytes starting at 0x8000.
0x0582	isr_gate_f000_input_capture_buffer	code	medium	Reads F000 through the gate-array register window, stores the byte into the EE20 input buffer, restores F002, RETI. Candidate parallel-port data path.
0x05E2	isr_rxb_host_receive_buffer	code	high	Reads CPU RXB, checks ER, stores received byte into the shared EE20 input buffer while temporarily changing F002.
0x0668	isr_print_engine_dispatch	code	medium	Large RETI routine dispatching on VV37/VV61 flags; calls motion/print helpers and updates timers.
0x07D0	paper_feed_pb2_release_delay_state	code	high	FE1 tail-exit state reached when VV37 has bit 0x10 set. Changes VV37 to 0x20, calls 0x540D, and for command feed releases PB2 high/hold because the 0x540D state selector falls through to EF60=00 and then 0x5498.
0x08D0	arm_head_f005_burst_output	code	medium	Writes F004=0xC0, sets alternate-register BC=F005 and DE/EA pointers from EF75/EF79, programs TM1/TMM, and re-enters print timer flow. Strong candidate head-fire burst setup.
0x0908	carriage_gate_array_tm_pulse	code	high	Writes MB=0x03 and pulses PC bit 7 low/high with delay slots. Service manual Figure 2-34 identifies CPU CO1/PC7 as the E01A05KA carriage gate-array TM input; FE1 calls this when VV62=0.
0x093E	paper_feed_pb_bits_3_4_phase_update_candidate	code	medium	Chooses phase rotation by VV61 bit 0, calls 0x0953/0x095F, then updates position/state through 0x54A0/0x54C9/0x5538. Service manual identifies PB3/PB4 as paper-feed phase A/B and C/D signals.
0x0953	rotate_pb_bits_3_4_phase_positive	code	medium	Rotates VV16 right with wrap, sets EA=+1, then writes VV16 bits 0x18 into PB bits 0x18 through 0x096A.
0x095F	rotate_pb_bits_3_4_phase_negative	code	medium	Rotates VV16 left with wrap, sets EA=-1, then writes VV16 bits 0x18 into PB bits 0x18 through 0x096A.
0x096A	write_pb_bits_3_4_stepper_phase_outputs	code	high	Stores the new VV16 phase and maps VV16 & 0x18 directly onto PB & 0x18 while preserving other PB bits. 0x18 is a mask, not a pin name; service-manual paper-feed phase lines PB3/PB4 correspond to these mask bits if bit numbering is zero-based.
0x0978	isr_head_f005_burst_transfer_reload	code	medium	Alternate-register ISR writes three bytes to BC, which 0x08D0 presets to F005; direction follows VV61 bit 0, then reloads ETM0 from ECNT+EE3A.
0x0A0B	read_next_host_input_byte	code	high	Blocking consumer for the EE20/EE22 input ring: waits for EE1E pending count, reads one byte from EE22 under F002=0xC0, advances EE22, decrements EE1E, and returns byte in A.
0x0A81	disable_f001_irq_or_strobe	code	medium	DI; clears F001 bits with NOP delays; masks MKL; similar sequence appears in interrupt paths.
0x0AB2	read_next_host_input_byte_7bit	code	high	CALT helper for 7-bit command parameters: calls 0x0A0B then masks A with 0x7F.
0x0AB6	read_next_host_input_word	code	medium	CALT helper: reads two host input bytes through 0x0A0B and returns them as a 16-bit value in HL.
0x0B23	write_bank_register_f002	code	high	Single helper: MOV ($F002),A; RET.
0x0E8B	line_or_buffer_bounds_check	code	low	Uses EFBF, EE4C, EE5C/EE5E and comparisons; likely print-buffer bounds logic.
0x0EF6	scan_ff00_buffer	code	medium	Scans/copies FF00 buffer; branches to 0x429D when done.
0x0F16	set_mode_bit_25_from_calt86	code	low	Small mode flag helper, writes VV25 bit 7 then CALT 0x0092.
0x0F21	set_mode_bit_23_20_from_calt86	code	low	Small mode flag helper, toggles VV23 bit 5 then CALT 0x0092.
0x1454	esc_R_select_international_character_set	code	high	ESC R n handler: accepts n < 13 and stores n*12 in VVBB for the 0x689C substitution table.
0x1464	apply_international_character_substitution	code	high	Searches the base row at 0x689C for #/$/@/bracket-style replacement characters, then applies the VVBB country-row offset.
0x147C	mode_or_geometry_helper	code	low	Called from buffer/geometry routines; returns HL/EA-derived values.
0x1677	common_render_or_buffer_helper	code	low	High fan-in CALL target in text/graphics region.
0x1CF2	load_cg_metrics_from_8000_or_8600	code	medium	Reads F002, selects 0x8000/0x8600 window, uses CALT 0x00B4 and VV:A0 to load EF99/EF9B metrics.
0x1D65	fit_glyph_width_and_update_bitmap_pointers	code	medium	Compares EF97/EF9B/EE88-derived pointers, adjusts EE88 and EF9B, and normalizes VV99 width/count.
0x1DDF	save_ee88_then_recompute_glyph_source	code	medium	Saves EE88 to EE8A, calls 0x1DFE, stores computed source pointer back to EE88, then clears a 0x021C-byte work area.
0x1DFE	compute_glyph_source_pointer_from_ee88	code	medium	High fan-in companion to 0x1DDF; starts from EE88 and returns a computed pointer in EA/HL.
0x2011	line_feed_vertical_advance_entry	code	medium	High fan-in line-output routine; clears VV24 bit 0, converts current line spacing EF8B through 0x50EB, then enters the shared vertical advance path at 0x2048.
0x2048	shared_vertical_advance_dispatch	code	medium	Common LF/FF/ESC J entry after distance setup. Calls 0x105A, chooses render path 0x299D only for a flag combination, otherwise snapshots EE44/EE50/EE4E and jumps to 0x256E.
0x2428	update_page_position_after_advance	code	medium	Updates vertical/page position state from EF42/EF44/EF3E/EF47 and VV38 flags, storing the resulting current offset at EF11.
0x24D4	clear_vv24_bit0	code	high	Tiny high-fan-in helper: ANIW VV24,0xFE; RET.
0x2530	esc_J_immediate_forward_feed	code	medium	ESC J handler: reads one byte, builds positive immediate feed distance in HL, and enters shared feed path at 0x2534.
0x2534	shared_immediate_feed_or_advance_entry	code	medium	Shared ESC J/ESC j entry: marks VV:C1 bits 0xE0, then normally jumps through 0x1FEA/0x2048 into the 0x256E signed vertical-advance setup.
0x2568	esc_j_immediate_reverse_feed_fx80_compat	code	medium	ESC j compatibility handler: reads one byte, sets H=0x80 for reverse/negative immediate feed, and enters the same 0x2534 path used by ESC J.
0x256E	setup_signed_vertical_advance_state	code	medium	Shared advance setup. Stores signed distance in EE7A, normalizes reverse distances into EE86, updates VV38/VV39 flags, snapshots render window state, and later calls 0x2864.
0x2864	process_pending_vertical_advance_distance	code	medium	Bridge from the render/advance state machine to timed output scheduling. If EE7A has a nonzero distance, stores it in EF40, sets VV38 bit 3, and calls 0x5676 after scheduler-availability checks.
0x26F1	initialize_print_geometry_state	code	low	Called during reset and adjustment-mode initialization.
0x2824	classify_extended_printable_character	code	medium	Range ladder over 0xAF-0xDE and 0xF4 using RET/RETS as boolean result; used before selecting font/state tables.
0x29B3	setup_8000_render_window_state	code	medium	Seeds EE46/EE48/EE4A/EE4C/EE4E/EE50 around the 0x8000 work window before the main render loop.
0x2DCE	inline_calt_dispatch_tail_table	data	medium	Inline byte table reached by 0x2DC8/0x0FC3 dispatch; disassembles as instructions but is table-like tail data before the 0xFF fill.
0x2DE3	unused_ff_gap_2de3_3fff	data	high	Long 0xFF fill from 0x2DE3 through 0x3FFF.
0x4000	external_prom_signature_or_alt_entry	data	medium	PBLS-like signature at 0x4000; reset compares 0x0070 against 0x4000 to decide external PROM handling.
0x4008	external_prom_entry_candidate	code	medium	CALL 0x038B then enters the normal 0x400B input/decode loop. May be external-PROM overlay entry or signature-following code.
0x400B	main_input_decode_loop	code	high	Top-level host-byte loop: reads one byte via CALT 0x0080/0x0A0B, calls 0x4038, dispatches controls through 0x6944, or continues to printable output when 0x4038 returns with skip.
0x4012	printable_character_output_path	code	medium	Entry after 0x4038 classifies a byte as printable; prepares glyph/render state before returning to the 0x400B loop.
0x4038	classify_input_character_and_select_style_state	code	high	Normalizes bytes through the 0x6000 identity/remap table, selects current/alternate font state into VV21/VV22/VV1F, and returns with skip for printable bytes.
0x4173	check_line_window_bounds	code	medium	Compares EE4C+HL against EE5C/EE5E bounds; used by character classifier and test print paths.
0x43DD	render_glyph_columns_or_3plane_overlay	code	medium	Glyph bitmap transform path; uses VV99 width, VV:CF stride, EE88/EE8A pointers, and ORs source columns into destination planes.
0x444A	copy_glyph_columns_to_work_buffer	code	medium	Glyph transform path that copies packed source columns to the EE88 work buffer, then runs shared shift/merge helpers.
0x44C4	render_glyph_columns_variant	code	low	Variant of the 0x43DD path with additional shifted-column merge steps.
0x45B1	or_shifted_columns_left_into_work_buffer	code	medium	Shared glyph helper; shifts source column data left by VV:D0 and ORs it into the destination stream.
0x45F8	or_shifted_columns_right_into_work_buffer	code	medium	Shared glyph helper; shifts source column data right by VV:D0 and ORs it into the destination stream.
0x463F	xor_or_mask_shifted_columns_into_work_buffer	code	medium	Shared glyph helper; applies shifted source bytes with XRAX/OR-style masking into the destination stream.
0x4664	adjust_glyph_width_and_right_edge_metrics	code	medium	Updates VV99 and EF95/EF97/EF9B after widening/extra-column transforms.
0x46A4	trim_or_merge_trailing_glyph_columns	code	medium	Uses EE88 and VV99 to combine trailing bytes with inverted previous-column masks.
0x46C4	set_glyph_work_stride_3	code	medium	Sets VV:CF to 3 and marks VV2A bit 7 when a non-empty glyph is active.
0x46D0	set_glyph_work_stride_4	code	medium	Sets VV:CF to 4 and marks style bits before packed/nibble expansion.
0x47CB	clear_or_pad_expanded_glyph_buffer	code	medium	Uses 0x1DFE and VV99 to copy/zero expanded glyph columns, then updates EE88 and EF9B.
0x4830	double_or_widen_glyph_columns	code	medium	Clears a derived work span, duplicates 3-byte columns, and adjusts EF9B; likely double-width or widening support.
0x4900	expand_packed_glyph_by_style_flags	code	medium	Selects one of several packed-column extraction paths based on VV89 bits and writes expanded bytes through 0x49AD.
0x49AD	expand_high_nibble_to_2bit_pairs	code	high	Maps input bits 0x80/0x40/0x20/0x10 to output masks 0xC0/0x30/0x0C/0x03; used heavily by packed glyph expansion.
0x49C5	condense_or_mask_glyph_columns	code	medium	Halves/condenses active glyph columns with inverted masks, then updates width and EF95/EF97/EF9B metrics.
0x4AA8	copy_2byte_glyph_columns_to_3byte_work_rows	code	medium	Copies two source bytes plus zero padding, or zero plus two source bytes depending VV28 bit 3.
0x4ACE	write_packed_glyph_nibbles_to_work_buffer	code	medium	Writes packed nibble/bit groups into destination columns at offsets 0/3/6/9; used for narrow packed glyph paths.
0x4DE0	gate_array_f001_control_cluster	code	medium	Cluster of helpers that set/clear F001 bits and related VV flags.
0x4EB9	clear_f001_bit3	code	medium	DI; read F001; ANI 0xF7; write F001; clears VV0A bit 0x10.
0x4ECF	set_f001_bit3	code	medium	DI; read F001; ORI 0x08; write F001; sets VV0A bit 0x10.
0x4EE4	txb_send_byte_wait_fst	code	high	Waits SKIT FST then writes TXB.
0x4EEA	read_panel_buttons_debounced	code	high	Combines stable PC bits from 0x4EF9 with the 0x4F21 PC08/F2 path; returns 0x01 LINE FEED/AUTO LOAD, 0x02 FORM FEED, and 0x04 ON LINE.
0x4EF9	read_pc_bits_30_stable	code	high	Debounces PC & 0x30 and maps PC bit 0x20 to LINE FEED/AUTO LOAD return bit 0x01 and PC bit 0x10 to FORM FEED return bit 0x02.
0x4F21	sample_on_line_pc08_or_f2_button	code	high	Uses SKIT F2 plus a PC bit 0x08 wait loop; returns with/without caller skip so 0x4EEA can set ON LINE return bit 0x04.
0x4F2F	delay_03e8	code	high	BC=0x03E8 delay via CALT 0x0090.
0x4F37	read_dip_switches_and_panel_pa_bits	code	medium	Calls table-driven ADC switch reader 0x4F54 twice, stores VV00/VV01, then folds PA bits 0x04/0x08 into VV01.
0x4F54	read_adc_switch_table_bits	code	medium	Walks compact tables at 0x4F96/0x4F9F, selects F002/ANM modes through 0x508D, and builds one switch bit per threshold comparison.
0x4FB1	sample_vr_adjustment_adc_offsets	code	medium	Startup and bidirectional-adjustment sampler; averages ADC channels, stores signed offsets at EE28/EE2E-related slots, and clamps them to small ranges.
0x506D	average_adc_sample_127_times	code	medium	Calls 0x508D 0x7F times for the selected F002/ANM mode and returns the averaged sample.
0x508D	write_f002_select_adc_average_cr0_cr3	code	medium	Writes F002 from A, configures ANM from B, waits FAD, then averages CR0-CR3 into one ADC value.
0x51F2	write_gate_array_f003_from_vv15	code	medium	Stores A to VV15 and F003.
0x51F7	startup_carriage_home_seek_entry	code	high	Only traced caller is startup at 0x0340. Branches on PA bit 0x20 HOME candidate, seeds VV61 carriage direction/mode values, calls 0x5253 with short or long distances, and exits through the 0x53E1 post-home path.
0x5253	startup_carriage_home_seek_timed_sequence	code	high	Starts with carriage current state 0x547E, walks 10-us-scaled timing tables around 0x7287/0x72AF, samples PA bit 0x20 via 0x5306, pulses the gate-array TM input through 0x0908, and eventually restores hold state 0x546A.
0x5306	sample_home_pa20_during_carriage_delay	code	high	Divides a delay interval into thirds, delays, and samples PA bit 0x20 HOME candidate three times while accumulating a small count in D.
0x540D	mechanism_output_state_dispatch	code	high	Maps VV37 flags to EFxx state bytes. With uPD7810 skip semantics, VV62!=0 reaches the PB mask 04h drive/hold branch matching the service-manual paper-feed +24 V enable line; VV62=0 indexes the 0x7007 PA/PB output table. For command-feed tail exit, VV37=0x20 selects EF60=00 and reaches 0x5498 to set PB & 04h high/hold.
0x546A	carriage_current_hold_state	code	medium	Sets PB mask 0x20, PA mask 0x02, and PB mask 0x40, then returns without clearing PB mask 0x20. Service manual says PB5 high is carriage hold current; PA02 appears to fill the manual's PB1/SPDH speed-high selector role but needs schematic confirmation.
0x5474	carriage_current_drive_high_candidate	code	medium	Sets PB mask 0x20, PA mask 0x02, and PB mask 0x40, then falls through to clear PB mask 0x20 at 0x5491. Candidate high drive-current state.
0x547E	carriage_current_drive_mid_candidate	code	medium	Sets PB mask 0x20 and PA mask 0x02, clears PB mask 0x40, then falls through to clear PB mask 0x20 at 0x5491. Used by the 0x5253 home-seek timed sequence entry.
0x5488	carriage_current_drive_low_candidate	code	medium	Sets PB mask 0x20, clears PA mask 0x02, sets PB mask 0x40, then falls through to clear PB mask 0x20 at 0x5491. Candidate lower drive-current state reached by the 0x7007 jump table.
0x558D	arm_timed_mechanism_record	code	medium	Sets VV37=1, loads a timing/control record via 0x55B1, dispatches initial output state through 0x540D, then arms ETM1/FE1.
0x55B1	load_mechanism_timing_record_into_ef49	code	medium	Copies a 0x17-byte timing/control record from the selected 0x7005/0x7088 table into EF49 and updates EF64/EF51/VV36 according to VV62/VV63/VV61.
0x5631	select_mechanism_timing_record_base	code	medium	Uses VV62 as a two-byte index into the 0x7001 pointer table, returning the selected timing record base in HL.
0x563C	setup_head_fire_timing_and_data_pointers	code	medium	Sets VV6D/VV6F flags, derives EF79 from EF64, stores alternate-register source pointer at EF75/EF77, seeds EF70/EF73, and writes F004=0x20.
0x5676	schedule_output_from_ef38_state	code	medium	Shared timed output scheduler reached from vertical advance and head/setup paths. Copies EF38 state to EF6D, writes F004=0x20, then builds an EF61/EF7C record and reaches 0x558D or the equivalent timed-record arm path.
0x5681	write_f004_head_idle_or_arm_value	code	medium	Writes 0x20 to F004 after head timing/data pointer setup; same idle/init value written at 0x0487.
0x5794	unused_ff_gap_5794_5fff	data	high	Long 0xFF fill from 0x5794 through 0x5FFF.
0x6000	byte_identity_table_00_ff	data	high	Full 0x00-0xFF byte table used by 0x4038 to remap host bytes before printable/control classification.
0x6100	service_diagnostic_strings	data	high	String/data block: self-test firmware header, data-dump strings, CSF messages, pitch strings, DIP/status menu text.
0x61AA	selftest_status_string_pointer_table	data	high	Two-column pointer table consumed by 0x75C7; each row supplies left and right status strings, ending with 0000h.
0x6230	selftest_status_selector_strings	data	high	Fixed-width DIP/status strings; first byte is a selector ID, followed by FF-delimited printable text.
0x67F0	print_style_setup_pointer_table	data	medium	Pointer table consumed by 0x264F to select print/render setup records at 0x6800-0x682D.
0x6800	print_style_setup_records	data	medium	Variable-length setup records loaded through the 0x67F0 pointer table into VV88/VV89 and related print state.
0x682E	render_spacing_lookup_overlap	data	medium	Small lookup consumed by 0x26A0 after masking B with 0x07; overlaps the startup timer table at 0x6834.
0x6834	startup_timer0_table_overlap	data	medium	Startup table indexed at 0x026E from VV0B and written to TM0; overlaps the 0x682E lookup.
0x6844	extended_glyph_metric_lookup_base	data	medium	Indexed lookup base consumed by 0x1D3C while deriving glyph metrics/widths for extended character paths.
0x689C	international_character_substitution_table	data	high	ESC R/self-test character substitution table consumed by 0x1464; base row lists # $ @ [ \\ ] ^ ` { | } ~.
0x6944	dispatch_control_or_esc_command	code	high	Command-table dispatcher. Pushes 0x400B as the loop return, scans byte/target tables, and jumps to matched command handlers.
0x695B	dispatch_esc_command_after_esc	code	high	ESC handler from the primary table: reads the next byte with 0x0AB2 and dispatches through the ESC table at 0x699C.
0x696E	primary_control_command_table	data	high	Count-prefixed table of 14 primary nonprintable commands: ESC, LF, CR, BEL, BS, HT, VT, FF, SO, SI, DC2, DC3, DC4, CAN.
0x699C	esc_command_table	data	high	Count-prefixed table of 62 ESC command bytes and handler addresses, including ESC @, ESC J, ESC K/L/Y/Z, ESC U, ESC C, ESC N/O, and style commands.
0x6A5A	unused_ff_gap_6a5a_6fff	data	high	Long 0xFF fill from 0x6A5A through 0x6FFF.
0x7001	mechanism_timing_record_pointer_table	data	medium	Two-word pointer table consumed by 0x5635/0x558D; selects timing record bases 0x7005 or 0x7088 from VV62.
0x7005	mechanism_timing_record_table_a	data	medium	Timing/control record table selected directly by 0x570F or through the 0x7001 pointer table; 0x55B1 copies 0x17-byte records into EF49.
0x7007	mechanism_output_jump_table	data	medium	Overlapping jump table consumed by 0x540D after indexing from EFxx state byte; targets 0x546A, 0x5474, 0x547E, and 0x5488.
0x7088	mechanism_timing_record_table_b	data	medium	Alternate timing/control record table selected through the 0x7001 pointer table when VV62 chooses the second record set.
0x708E	paper_feed_short_move_threshold_overlap	data	medium	Word loaded directly by 0x55D8 from inside the 0x7088 record table. 55DC forces H=00h, so command feed compares the current count against low byte 0x0B; counts below 0x0B take the VV36 mask 04h/EF51=725Fh special path.
0x70BF	mechanism_head_timing_word_table	data	low	Dense timing/control words following the selected mechanism records; exact sub-record boundaries still need runtime confirmation.
0x7219	cr0_lookup_table	data	medium	Indexed from ISR at 0x06DF using CR0 range 0xC1-0xEE.
0x725F	paper_feed_timing_list_start_overlap	data	medium	Word loaded directly by 0x55E4 into EF51 for command-feed counts below the 0x708E threshold; also the first word of the 725Fh timing-list region matching service-manual paper-feed acceleration timing.
0x7287	mechanism_delay_table	data	medium	Delay/compare table consumed by the 0x5253 PA20 timed mechanism sequence through offsets at 0x7287, 0x729B, and 0x72AD.
0x72AF	mechanism_sequence_table	data	medium	Mechanism sequence/state table consumed by 0x5253; 0x72B3 is also indexed by 0x5719 using a small stride.
0x72D9	unclassified_descending_lookup_table	data	low	Table-like bytes between mechanism sequence data and render geometry tables; no direct consumer confirmed yet.
0x7307	render_geometry_byte_table	data	medium	Byte lookup consumed by 0x22DB using VV3A & 7 before downstream geometry table lookups.
0x7317	render_geometry_word_table_7317	data	medium	Render/layout table consumed by 0x22E4 through the shared 0x23F1-style lookup path.
0x7341	render_geometry_word_table_7341	data	medium	Render/layout table consumed by 0x220B.
0x735B	render_geometry_word_table_735b	data	medium	Render/layout table consumed by 0x231F.
0x736B	render_geometry_word_table_736b	data	medium	Render/layout table consumed by 0x2310.
0x737B	render_geometry_word_table_737b	data	medium	Render/layout table consumed by 0x2239.
0x738B	render_geometry_word_table_738b	data	medium	Render/layout table consumed by 0x2248.
0x739B	power_on_panel_mode_dispatch	code	high	Dispatches startup panel mode from VV0C: 0x01 draft self-test, 0x02 LQ self-test, 0x03 data dump, and remapped 0x08 bidirectional adjustment.
0x73AF	data_dump_grid_printer	code	medium	Prints rows through the 0x8000 work window, converts nibbles to ASCII, and emits dot placeholders via 0x4038/0x2011.
0x746F	nibble_to_ascii_hex_digit	code	high	Converts 0-15 to ASCII hex digit using +7/+0x30 adjustment.
0x7476	print_hex_digit_or_data_dump_cell	code	medium	Saves HL to EE46, prints one cell through 0x4038, advances by seven bytes, and restores registers.
0x7493	select_print_state_for_character	code	medium	Selects current/alternate font state into VV21/VV22 based on character range, then checks bounds via 0x4173.
0x74CB	draft_self_test_entry	code	high	Power-on LINE FEED/AUTO LOAD self-test path; sets VV23 bit 0x04 before common self-test printing.
0x74CF	letter_quality_self_test_entry	code	high	Power-on FORM FEED self-test path; clears VV23 bit 0x04 before common self-test printing.
0x7552	print_selftest_firmware_header	code	high	Prints the 0x6100 L5217B firmware header string, then advances output through 0x2011.
0x7557	print_string_then_output_advance	code	medium	Calls 0x755D then jumps to 0x2011.
0x755D	print_ff_or_nul_terminated_string	code	high	Prints bytes from HL until 0x00/0xFF, using A/C mode and char-output helpers.
0x7594	copy_string_to_ff00_then_print	code	medium	Copies a source string to 0xFF00 then prints via 0x755D.
0x75C7	print_selftest_status_table	code	high	Saves current style, builds selected status IDs, prints the two-column 0x61AA table, then restores VV22/VV23/VV24.
0x760A	build_selftest_selected_status_ids	code	high	Builds up to twelve selected DIP/status selector IDs in FF00 from VV00/VV01 before the status table is printed.
0x7693	map_country_dip_bits_to_selector_index	code	medium	Reorders VV00 bits 0-2 into an index used to select one of the country selector IDs.
0x76A6	map_font_dip_bits_to_selector_index	code	medium	Builds the font selector index from VV00 bits 3-4.
0x76B4	map_pitch_dip_bits_to_selector_index	code	medium	Builds the pitch selector index from VV01 bits 6-7.
0x76C2	print_status_string_bold_if_selected	code	high	Reads a selector-prefixed status string, keeps VV24 bit 0x10 emphasized/bold set only when the selector is present in FF00, then prints the string.
0x76DE	print_status_column_spacing	code	medium	Prints repeated spacing strings from 0x618E unless the high bit says no spacing.
0x7719	data_dump_mode_routine	code	high	Prints strings at 0x6116/0x612E/0x613C/0x615E; handles data-dump paper length flow.
0x77E5	format_decimal_digits_to_ff00	code	medium	Decimal formatting helper used by data-dump/service output before printing through the FF00 scratch buffer.
0x7818	bidirectional_adjustment_mode	code	high	Prints 0x7A18 'Bi-d Adjustment Mode', VR strings, reads panel/sensor input.
0x79D4	print_adjustment_marker_grid	code	medium	Prints repeated marker string 0x7A3B with output advances; used while rendering bidirectional adjustment samples.
0x79F6	print_service_string_then_advance	code	medium	Prints the FF-delimited string at HL via 0x755D, advances output, then flushes/ends the line.
0x7A00	format_adjustment_value_to_ff00	code	medium	Formats the low byte of HL through 0x77FC into the FF00 scratch string used by the adjustment value display.
0x7A18	bidirectional_adjustment_strings	data	high	FF-delimited strings and markers: Bi-d Adjustment Mode, VR1, VR2, out of range, space, plus, minus, and the 0xB3 marker.
0x7A53	untraced_adjustment_code_fragment	data	low	Code-like bytes after the adjustment strings and before the confirmed 0x7AB2 entry; no real entry point confirmed yet.
0x7AB2	style_typeface_selection_state_machine	code	medium	Startup/service state machine that updates VV02, VVA4/VVA5, VV1E, and VV23 before falling into the panel output helper.
0x7B1F	derive_style_selector_from_vv23	code	medium	Maps VV23 style bits into VV1E selector values 0x80-0x83.
0x7B36	apply_style_selector_to_vv23	code	medium	Maps VV1E low bits back into VV23 style bits 0x20, 0x02, and 0x80 after clearing the previous selector bits.
0x7B52	update_panel_select_pa_pb_outputs	code	medium	Writes PA bit 0 and PB bit 7 depending VV23/VVA5; used during service/adjustment UI setup.
0x7B74	unused_ff_gap_7b74_7fff	data	high	Long 0xFF fill from 0x7B74 through end of ROM.
